sno,question,option1,option2,option3,option4,multiple,correct-options,images,codeLang,codeContent
1,How do you reverse a string in Python?,,,,,FALSE,1,1,,
2,What checks if a string is a palindrome?,Compare string with its reverse,Check if string equals itself,Count characters,Convert to uppercase and compare,FALSE,1,0,,
3,How do you count numerical digits in a string?,Use isdigit() method,Use len() function,Check ASCII values,Convert to integer,FALSE,1,0,,
4,How do you find the occurrence of a character in a string?,Use count() method,Loop through string,Use find() method,Use index() method,FALSE,1,0,,
5,How to find non-matching characters between two strings?,Compare characters by index,Sort both strings,Check length difference,Use set operations,FALSE,1,0,,
6,How to check if two strings are anagrams?,Sort both strings and compare,Check if lengths are equal,Compare characters directly,Use dictionary for counts,TRUE,1|4,0,,
7,How to count vowels and consonants in a string?,Iterate and check each character,Use regex for vowels,Count spaces,Convert to set,FALSE,1,0,,
8,How to sum matching integers in an array?,Loop through array,Use sum() function,Sort array first,Check for duplicates,FALSE,1,0,,
9,How do you reverse an array in-place?,Swap elements from ends,Use reverse() method,Create new array,Sort in descending order,FALSE,1,0,,
10,How to find the maximum element in an array?                    ,Track max while iterating,Use max() function,Sort array,Check first element,FALSE,2,0,,
11,How to sort an array in ascending order?,Use sort() method,Implement bubble sort,Use quicksort,Use mergesort,TRUE,1|2|3|4,0,,
12,How to print Fibonacci sequence using recursion?,Call function with n-1 and n-2,Use loop instead,Store in array,Use dynamic programming,FALSE,1,0,,
13,How to calculate the sum of two integers?,Use + operator,Convert to string and parse,Use bitwise operations,Use recursion,FALSE,1,0,,
14,How to find the average of numbers in a list?,Sum and divide by length,Use mean() function,Sort and pick middle,Count elements,TRUE,1|2,0,,
15,How to check if a number is even or odd?,Use modulo operator,Divide by 2,Check last digit,Use bitwise AND,TRUE,1|4,0,,
16,How to find the middle element of a linked list?,Use two pointers (slow and fast),Count all nodes,Traverse half length,Reverse list,FALSE,1,0,,
17,How to remove a loop in a linked list?,Use Floyd’s cycle detection,Mark visited nodes,Use hash table,Reverse list,FALSE,1,0,,
18,How to merge two sorted linked lists?,Compare and merge nodes,Concatenate lists,Sort after merging,Use recursion,TRUE,1|4,0,,
19,How to implement binary search?,Divide array and compare middle,Linear search,Check each element,Sort first,FALSE,1,0,,
20,How to print a binary tree in vertical order?,Use level order traversal,Use DFS,Use hash map with horizontal distance,Preorder traversal,FALSE,3,0,,
21,What is a data structure?,Organizes data for efficient use,Collection of variables,Program logic,Memory allocation,FALSE,1,0,,
22,What is an array?,Contiguous memory storage,Linked nodes,Dynamic size structure,Key-value pairs,FALSE,1,0,,
23,What is a linked list?,Nodes with pointers,Fixed-size array,Tree structure,Hash table,FALSE,1,0,,
24,What is the difference between array and linked list?,Array is fixed size; linked list is dynamic,Array uses pointers,Linked list is contiguous,Array is slower,FALSE,1,0,,
25,What is LIFO?,Last In First Out,First In First Out,Last In Last Out,First In Last Out,FALSE,1,0,,
26,What is FIFO?,First In First Out,Last In First Out,First In Last Out,Last In Last Out,FALSE,1,0,,
27,What is a stack?,LIFO data structure,FIFO data structure,Tree structure,Graph structure,FALSE,1,0,,
28,What are binary trees?,Nodes with up to two children,Nodes with one child,Nodes with multiple children,Linear structure,FALSE,1,0,,
29,What is object-oriented programming?,Uses classes and objects,Procedural programming,Functional programming,Script-based programming,FALSE,1,0,,
30,What is the purpose of a loop in programming?,Repeat code execution,Conditional execution,Function definition,Variable declaration,FALSE,1,0,,
